+   1 | INSERTED | VALID LINE |    0R    1W
+ 1620 | INSERTED | VALID LINE |   24R   19W
+ 1621 | INSERTED | VALID LINE |   13R    9W
+ 1622 | INSERTED | MISSING: FIRST_NAME |   15R   12W
+ 1623 | INSERTED | MISSING: FIRST_NAME BIRTH_CITY |   32R   28W
+ 1624 | INSERTED | VALID LINE |   29R   23W
+ 1625 | INSERTED | VALID LINE |   16R   11W
+ 1626 | INSERTED | VALID LINE |    8R    3W
+ 1627 | INSERTED | VALID LINE |    8R    3W
+ 1628 | INSERTED | VALID LINE |   16R   15W
+ 1629 | INSERTED | VALID LINE |   14R    9W
+ 1630 | INSERTED | VALID LINE |   22R   19W
+ 1631 | INSERTED | VALID LINE |   14R   10W
+ 1632 | INSERTED | VALID LINE |   25R   21W
+ 1633 | INSERTED | VALID LINE |   16R   15W
+ 1634 | INSERTED | MISSING: FIRST_NAME |   25R   20W
+ 1635 | INSERTED | VALID LINE |    6R    2W
+ 1636 | INSERTED | VALID LINE |    7R    1W
+ 1637 | INSERTED | VALID LINE |   22R   19W
+ 1638 | INSERTED | VALID LINE |   25R   20W
+ 1639 | INSERTED | MISSING: BIRTH_DATE |   24R   22W
+ 1640 | INSERTED | VALID LINE |   12R    7W
+ 1641 | INSERTED | VALID LINE |    6R    1W
+ 1642 | INSERTED | VALID LINE |   10R    5W
+ 1643 | INSERTED | VALID LINE |   32R   28W
+ 1644 | INSERTED | MISSING: BIRTH_DATE |   21R   17W
+ 1645 | INSERTED | MISSING: BIRTH_CITY |   10R    8W
+ 1646 | INSERTED | VALID LINE |   14R   10W
+ 1647 | INSERTED | VALID LINE |   24R   22W
+ 1648 | INSERTED | VALID LINE |   18R   13W
+ 1649 | INSERTED | VALID LINE |   22R   19W
+ 1650 | INSERTED | VALID LINE |   14R    9W
+ 1651 | INSERTED | VALID LINE |    7R    4W
+ 1652 | INSERTED | MISSING: FIRST_NAME |   14R   10W
+ 1653 | INSERTED | VALID LINE |   21R   16W
+ 1654 | INSERTED | VALID LINE |    8R    3W
+ 1655 | INSERTED | VALID LINE |   26R   20W
+ 1656 | INSERTED | VALID LINE |   29R   26W
+ 1657 | INSERTED | VALID LINE |   16R   11W
+ 1658 | INSERTED | VALID LINE |    8R    3W
+ 1659 | INSERTED | VALID LINE |   16R   15W
+ 1660 | INSERTED | VALID LINE |   14R   10W
+ 1661 | INSERTED | VALID LINE |   25R   21W
+ 1662 | INSERTED | VALID LINE |   15R   12W
+ 1663 | INSERTED | VALID LINE |   10R    5W
+ 1664 | INSERTED | VALID LINE |    6R    2W
+ 1665 | INSERTED | MISSING: BIRTH_DATE |   24R   22W
+ 1666 | INSERTED | VALID LINE |   25R   21W
+ 1667 | INSERTED | MISSING: BIRTH_CITY |   14R   10W
+ 1668 | INSERTED | MISSING: BIRTH_CITY |   24R   22W
+ 1669 | INSERTED | VALID LINE |   14R    9W
+ 1670 | INSERTED | VALID LINE |   25R   21W
+ 1671 | INSERTED | VALID LINE |    6R    2W
+ 1672 | INSERTED | VALID LINE |   16R   15W
+ 1673 | INSERTED | VALID LINE |   15R   12W
+ 1674 | INSERTED | VALID LINE |   30R   25W
+ 1675 | INSERTED | VALID LINE |    7R    4W
+ 1676 | INSERTED | VALID LINE |   32R   28W
+ 1677 | INSERTED | VALID LINE |    8R    3W
+ 1678 | INSERTED | VALID LINE |    6R    2W
+ 1679 | INSERTED | MISSING: BIRTH_DATE |   14R    9W
+ 1680 | INSERTED | VALID LINE |   18R   14W
+ 1681 | INSERTED | VALID LINE |   28R   24W
+ 1682 | INSERTED | VALID LINE |   25R   20W
+ 1683 | INSERTED | VALID LINE |   16R   11W
+ 1684 | INSERTED | VALID LINE |    7R    4W
+ 1685 | INSERTED | VALID LINE |   10R    8W
+ 1686 | INSERTED | VALID LINE |   10R    6W
+ 1687 | INSERTED | VALID LINE |   12R    7W
+ 1688 | INSERTED | VALID LINE |   14R   10W
+ 1689 | INSERTED | MISSING: BIRTH_CITY |    7R    4W
+ 1690 | INSERTED | VALID LINE |   16R   15W
+ 1691 | INSERTED | VALID LINE |   10R    6W
+ 1692 | INSERTED | VALID LINE |   33R   28W
+ 1693 | INSERTED | MISSING: BIRTH_CITY |   29R   25W
+ 1694 | INSERTED | VALID LINE |   29R   25W
+ 1695 | INSERTED | VALID LINE |   16R   15W
+ 1696 | INSERTED | VALID LINE |   18R   13W
+ 1697 | INSERTED | VALID LINE |   21R   16W
+ 1698 | INSERTED | VALID LINE |   10R    5W
+ 1699 | INSERTED | MISSING: LAST_NAME |   25R   20W
+ 1700 | INSERTED | VALID LINE |   33R   28W
+ 1701 | INSERTED | VALID LINE |   14R    9W
+ 1702 | INSERTED | MISSING: BIRTH_CITY |   25R   23W
+ 1703 | INSERTED | VALID LINE |   25R   20W
+ 1704 | INSERTED | VALID LINE |   16R   11W
+ 1705 | INSERTED | VALID LINE |   22R   19W
+ 1706 | INSERTED | VALID LINE |   25R   21W
+ 1707 | INSERTED | VALID LINE |   29R   25W
+ 1708 | INSERTED | VALID LINE |    8R    3W
+ 1709 | INSERTED | VALID LINE |   10R    4W
+ 1710 | INSERTED | MISSING: BIRTH_CITY |   12R    7W
+ 1711 | INSERTED | VALID LINE |   10R    8W
+ 1712 | INSERTED | MISSING: FIRST_NAME |    7R    4W
+ 1713 | INSERTED | VALID LINE |   25R   21W
+ 1714 | INSERTED | VALID LINE |   12R    7W
+ 1715 | INSERTED | VALID LINE |   30R   27W
+ 1716 | INSERTED | VALID LINE |   23R   18W
+ 1717 | INSERTED | VALID LINE |   23R   18W
+ 1718 | INSERTED | VALID LINE |   29R   24W
+ 1719 | INSERTED | VALID LINE |   29R   25W
+ 1720 | INSERTED | VALID LINE |   30R   27W
+ 1721 | INSERTED | MISSING: BIRTH_DATE |   16R   15W
+ 1722 | INSERTED | VALID LINE |   12R    7W
+ 1723 | INSERTED | VALID LINE |   23R   18W
+ 1724 | INSERTED | VALID LINE |   14R    9W
+ 1725 | INSERTED | VALID LINE |   16R   15W
+ 1726 | INSERTED | MISSING: FIRST_NAME |   31R   26W
+ 1727 | INSERTED | VALID LINE |   31R   26W
+ 1728 | INSERTED | VALID LINE |   10R    8W
+ 1729 | INSERTED | VALID LINE |   22R   19W
+ 1730 | INSERTED | MISSING: BIRTH_DATE |   21R   17W
+ 1731 | INSERTED | VALID LINE |   23R   18W
+ 1732 | INSERTED | VALID LINE |   33R   28W
+ 1733 | INSERTED | VALID LINE |   10R    5W
+ 1734 | INSERTED | VALID LINE |   29R   24W
+ 1735 | INSERTED | VALID LINE |   21R   16W
+ 1736 | INSERTED | MISSING: FIRST_NAME |   16R   15W
+ 1737 | INSERTED | VALID LINE |    7R    4W
+ 1738 | INSERTED | VALID LINE |    8R    3W
+ 1739 | INSERTED | VALID LINE |   18R   13W
+ 1740 | INSERTED | VALID LINE |   30R   27W
+ 1741 | INSERTED | VALID LINE |   16R   12W
+ 1742 | INSERTED | MISSING: BIRTH_CITY |   14R    9W
+ 1743 | INSERTED | MISSING: LAST_NAME |   31R   28W
+ 1744 | INSERTED | VALID LINE |   16R   11W
+ 1745 | INSERTED | MISSING: LAST_NAME |   18R   13W
+ 1746 | INSERTED | VALID LINE |   22R   17W
+ 1747 | INSERTED | VALID LINE |   30R   25W
+ 1748 | INSERTED | VALID LINE |   22R   18W
+ 1749 | INSERTED | VALID LINE |   10R    6W
+ 1750 | INSERTED | VALID LINE |   26R   22W
+ 1751 | INSERTED | VALID LINE |   16R   11W
+ 1752 | INSERTED | VALID LINE |   17R   16W
+ 1753 | INSERTED | VALID LINE |   22R   18W
+ 1754 | INSERTED | MISSING: LAST_NAME |   22R   18W
+ 1755 | INSERTED | VALID LINE |   12R    7W
+ 1756 | INSERTED | MISSING: BIRTH_CITY |   10R    5W
+ 1757 | INSERTED | MISSING: FIRST_NAME |   14R    9W
+ 1758 | INSERTED | VALID LINE |   24R   19W
+ 1759 | INSERTED | VALID LINE |   14R   10W
+ 1760 | INSERTED | VALID LINE |   17R   16W
+ 1761 | INSERTED | VALID LINE |   23R   20W
+ 1762 | INSERTED | VALID LINE |   26R   24W
+ 1763 | INSERTED | VALID LINE |   17R   16W
+ 1764 | INSERTED | MISSING: BIRTH_CITY |   34R   30W
+ 1765 | INSERTED | VALID LINE |   26R   21W
+ 1766 | INSERTED | VALID LINE |   10R    6W
+ 1767 | INSERTED | VALID LINE |    6R    2W
+ 1768 | INSERTED | VALID LINE |   26R   22W
+ 1769 | INSERTED | VALID LINE |   14R   10W
+ 1770 | INSERTED | VALID LINE |   30R   26W
+ 1771 | INSERTED | VALID LINE |   10R    5W
+ 1772 | INSERTED | VALID LINE |   10R    8W
+ 1773 | INSERTED | VALID LINE |   10R    8W
+ 1774 | INSERTED | VALID LINE |   15R   12W
+ 1775 | INSERTED | VALID LINE |   12R    7W
+ 1776 | INSERTED | VALID LINE |   18R   13W
+ 1777 | INSERTED | VALID LINE |   32R   27W
+ 1778 | INSERTED | VALID LINE |   26R   22W
+ 1779 | INSERTED | VALID LINE |   28R   23W
+ 1780 | INSERTED | VALID LINE |   10R    5W
+ 1781 | INSERTED | MISSING: BIRTH_CITY |   32R   27W
+ 1782 | INSERTED | MISSING: BIRTH_DATE |   30R   26W
+ 1783 | INSERTED | VALID LINE |   26R   21W
+ 1784 | INSERTED | VALID LINE |   26R   21W
+ 1785 | INSERTED | MISSING: FIRST_NAME |   30R   26W
+ 1786 | INSERTED | VALID LINE |   24R   19W
+ 1787 | INSERTED | VALID LINE |   10R    6W
+ 1788 | INSERTED | VALID LINE |    7R    4W
+ 1789 | INSERTED | VALID LINE |   10R    8W
+ 1790 | INSERTED | VALID LINE |   26R   22W
+ 1791 | INSERTED | VALID LINE |   18R   13W
+ 1792 | INSERTED | VALID LINE |   24R   19W
+ 1793 | INSERTED | VALID LINE |    8R    3W
+ 1794 | INSERTED | VALID LINE |   18R   13W
+ 1795 | INSERTED | MISSING: BIRTH_DATE BIRTH_CITY |   31R   28W
+ 1796 | INSERTED | VALID LINE |    8R    3W
+ 1797 | INSERTED | VALID LINE |   14R   10W
+ 1798 | INSERTED | VALID LINE |   18R   14W
+ 1799 | INSERTED | VALID LINE |   18R   14W
+ 1800 | INSERTED | VALID LINE |   12R    7W
+ 1801 | INSERTED | VALID LINE |   18R   14W
+ 1802 | INSERTED | MISSING: LAST_NAME |   22R   17W
+ 1803 | INSERTED | VALID LINE |   30R   25W
+ 1804 | INSERTED | VALID LINE |   18R   13W
+ 1805 | INSERTED | VALID LINE |    8R    3W
+ 1806 | INSERTED | MISSING: BIRTH_CITY |   26R   22W
+ 1807 | INSERTED | VALID LINE |   12R    7W
+ 1808 | INSERTED | VALID LINE |   10R    8W
+ 1809 | INSERTED | VALID LINE |   10R    6W
+ 1810 | INSERTED | VALID LINE |   14R   10W
+ 1811 | INSERTED | MISSING: FIRST_NAME |   26R   22W
+ 1812 | INSERTED | VALID LINE |   30R   25W
+ 1813 | INSERTED | VALID LINE |   36R   31W
+ 1814 | INSERTED | VALID LINE |   17R   16W
+ 1815 | INSERTED | VALID LINE |   26R   21W
+ 1816 | INSERTED | VALID LINE |   30R   26W
+ 1817 | INSERTED | VALID LINE |    6R    2W
+ 1818 | INSERTED | VALID LINE |   10R    8W
+ 1819 | INSERTED | MISSING: BIRTH_DATE |   10R    8W
+ 1820 | INSERTED | VALID LINE |   15R   12W
+ 1821 | INSERTED | VALID LINE |   15R   12W
+ 1822 | INSERTED | VALID LINE |   10R    6W
+ 1823 | INSERTED | VALID LINE |   12R    7W
+ 1824 | INSERTED | MISSING: FIRST_NAME |    6R    1W
+ 1825 | INSERTED | VALID LINE |   10R    5W
+ 1826 | INSERTED | MISSING: LAST_NAME |   10R    8W
+ 1827 | INSERTED | VALID LINE |   10R    5W
+ 1828 | INSERTED | VALID LINE |   22R   18W
+ 1829 | INSERTED | VALID LINE |   22R   18W
+ 1830 | INSERTED | VALID LINE |   24R   19W
+ 1831 | INSERTED | MISSING: LAST_NAME |   26R   24W
+ 1832 | INSERTED | VALID LINE |   22R   17W
+ 1833 | INSERTED | VALID LINE |   22R   18W
+ 1834 | INSERTED | VALID LINE |   26R   22W
+ 1835 | INSERTED | VALID LINE |   15R   12W
+ 1836 | INSERTED | VALID LINE |   30R   26W
+ 1837 | INSERTED | VALID LINE |   28R   23W
+ 1838 | INSERTED | VALID LINE |   15R   12W
+ 1839 | INSERTED | VALID LINE |    7R    4W
+ 1840 | INSERTED | VALID LINE |   34R   30W
+ 1841 | INSERTED | MISSING: BIRTH_CITY |   17R   16W
+ 1842 | INSERTED | VALID LINE |   11R    5W
+ 1843 | INSERTED | VALID LINE |   26R   22W
+ 1844 | INSERTED | VALID LINE |   22R   18W
+ 1845 | INSERTED | VALID LINE |   32R   27W
+ 1846 | INSERTED | MISSING: FIRST_NAME |   30R   26W
+ 1847 | INSERTED | MISSING: BIRTH_DATE |   10R    8W
+ 1848 | INSERTED | VALID LINE |   18R   14W
+ 1849 | INSERTED | VALID LINE |   31R   28W
+ 1850 | INSERTED | MISSING: BIRTH_CITY |   17R   16W
+ 1851 | INSERTED | VALID LINE |   16R   11W
+ 1852 | INSERTED | VALID LINE |   24R   19W
+ 1853 | INSERTED | VALID LINE |   10R    8W
+ 1854 | INSERTED | VALID LINE |   14R   10W
+ 1855 | INSERTED | VALID LINE |   18R   13W
+ 1856 | INSERTED | VALID LINE |   32R   27W
+ 1857 | INSERTED | VALID LINE |   10R    6W
+ 1858 | INSERTED | MISSING: FIRST_NAME |   14R    9W
+ 1859 | INSERTED | MISSING: BIRTH_CITY |   36R   31W
+ 1860 | INSERTED | VALID LINE |   10R    6W
+ 1861 | INSERTED | VALID LINE |    7R    5W
+ 1862 | INSERTED | VALID LINE |    9R    4W
+ 1863 | INSERTED | MISSING: LAST_NAME BIRTH_CITY |   11R    6W
+ 1864 | INSERTED | VALID LINE |   31R   26W
+ 1865 | INSERTED | VALID LINE |   15R   11W
+ 1866 | INSERTED | VALID LINE |   27R   25W
+ 1867 | INSERTED | VALID LINE |   25R   20W
+ 1868 | INSERTED | VALID LINE |   16R   13W
+ 1869 | INSERTED | VALID LINE |   17R   12W
+ 1870 | INSERTED | VALID LINE |   31R   26W
+ 1871 | INSERTED | VALID LINE |   27R   22W
+ 1872 | INSERTED | VALID LINE |   17R   12W
+ 1873 | INSERTED | VALID LINE |   21R   16W
+ 1874 | INSERTED | VALID LINE |   32R   29W
+ 1875 | INSERTED | VALID LINE |    7R    3W
+ 1876 | INSERTED | VALID LINE |   33R   28W
+ 1877 | INSERTED | VALID LINE |   23R   18W
+ 1878 | INSERTED | VALID LINE |   31R   27W
+ 1879 | INSERTED | VALID LINE |   27R   22W
+ 1880 | INSERTED | VALID LINE |   27R   25W
+ 1881 | INSERTED | MISSING: FIRST_NAME |   29R   24W
+ 1882 | INSERTED | VALID LINE |   32R   29W
+ 1883 | INSERTED | VALID LINE |   11R    6W
+ 1884 | INSERTED | VALID LINE |   35R   31W
+ 1885 | INSERTED | MISSING: BIRTH_DATE |   29R   24W
+ 1886 | INSERTED | MISSING: BIRTH_DATE |   31R   27W
+ 1887 | INSERTED | VALID LINE |   35R   31W
+ 1888 | INSERTED | VALID LINE |   19R   15W
+ 1889 | INSERTED | VALID LINE |   18R   17W
+ 1890 | INSERTED | VALID LINE |   25R   20W
+ 1891 | INSERTED | VALID LINE |   15R   10W
+ 1892 | INSERTED | MISSING: FIRST_NAME |    7R    2W
+ 1893 | INSERTED | VALID LINE |   27R   25W
+ 1894 | INSERTED | VALID LINE |   18R   17W
+ 1895 | INSERTED | VALID LINE |   27R   25W
+ 1896 | INSERTED | VALID LINE |   29R   24W
+ 1897 | INSERTED | VALID LINE |   11R    6W
+ 1898 | INSERTED | VALID LINE |   16R   13W
+ 1899 | INSERTED | MISSING: FIRST_NAME |   11R    7W
+ 1900 | INSERTED | VALID LINE |   27R   25W
+ 1901 | INSERTED | VALID LINE |   21R   16W
+ 1902 | INSERTED | VALID LINE |   15R   10W
+ 1903 | INSERTED | VALID LINE |   31R   27W
+ 1904 | INSERTED | VALID LINE |   37R   32W
+ 1905 | INSERTED | VALID LINE |    9R    4W
+ 1906 | INSERTED | VALID LINE |   11R    7W
+ 1907 | INSERTED | VALID LINE |   11R    6W
+ 1908 | INSERTED | VALID LINE |    8R    5W
+ 1909 | INSERTED | VALID LINE |   11R    9W
+ 1910 | INSERTED | VALID LINE |   27R   23W
+ 1911 | INSERTED | VALID LINE |   31R   26W
+ 1912 | INSERTED | VALID LINE |    7R    3W
+ 1913 | INSERTED | VALID LINE |   31R   26W
+ 1914 | INSERTED | MISSING: BIRTH_CITY |   27R   22W
+ 1915 | INSERTED | VALID LINE |   33R   28W
+ 1916 | INSERTED | VALID LINE |   31R   27W
+ 1917 | INSERTED | MISSING: BIRTH_CITY |   18R   17W
+ 1918 | INSERTED | VALID LINE |   10R    4W
+ 1919 | INSERTED | VALID LINE |   33R   28W
+ 1920 | INSERTED | VALID LINE |   18R   17W
+ 1921 | INSERTED | MISSING: LAST_NAME |   37R   33W
+ 1922 | INSERTED | VALID LINE |   34R   29W
+ 1923 | INSERTED | VALID LINE |   21R   16W
+ 1924 | INSERTED | MISSING: BIRTH_DATE |   17R   12W
+ 1925 | INSERTED | VALID LINE |   28R   24W
+ 1926 | INSERTED | VALID LINE |    7R    3W
+ 1927 | INSERTED | MISSING: LAST_NAME |   28R   23W
+ 1928 | INSERTED | MISSING: BIRTH_CITY |   19R   14W
+ 1929 | INSERTED | VALID LINE |   34R   29W
+ 1930 | INSERTED | VALID LINE |   24R   20W
+ 1931 | INSERTED | MISSING: BIRTH_CITY |   36R   32W
+ 1932 | INSERTED | VALID LINE |   19R   15W
+ 1933 | INSERTED | MISSING: FIRST_NAME |    9R    4W
+ 1934 | INSERTED | VALID LINE |    7R    2W
+ 1935 | INSERTED | VALID LINE |   30R   25W
+ 1936 | INSERTED | VALID LINE |   18R   17W
+ 1937 | INSERTED | VALID LINE |    7R    2W
+ 1938 | INSERTED | VALID LINE |   25R   22W
+ 1939 | INSERTED | MISSING: FIRST_NAME |    7R    3W
+ 1940 | INSERTED | VALID LINE |   25R   22W
+ 1941 | INSERTED | MISSING: LAST_NAME |   32R   27W
+ 1942 | INSERTED | MISSING: BIRTH_CITY |    8R    5W
+ 1943 | INSERTED | VALID LINE |   16R   13W
+ 1944 | INSERTED | VALID LINE |    7R    2W
+ 1945 | INSERTED | MISSING: BIRTH_DATE |    9R    4W
+ 1946 | INSERTED | VALID LINE |   28R   23W
+ 1947 | INSERTED | VALID LINE |   19R   14W
+ 1948 | INSERTED | VALID LINE |   36R   31W
+ 1949 | INSERTED | VALID LINE |   11R    7W
+ 1950 | INSERTED | VALID LINE |   19R   15W
+ 1951 | INSERTED | VALID LINE |   17R   12W
+ 1952 | INSERTED | VALID LINE |   11R    6W
+ 1953 | INSERTED | VALID LINE |    9R    4W
+ 1954 | INSERTED | VALID LINE |   15R   11W
+ 1955 | INSERTED | VALID LINE |   25R   22W
+ 1956 | INSERTED | VALID LINE |   36R   31W
+ 1957 | INSERTED | MISSING: LAST_NAME |   21R   16W
+ 1958 | INSERTED | VALID LINE |    7R    3W
+ 1959 | INSERTED | VALID LINE |   26R   21W
+ 1960 | INSERTED | MISSING: FIRST_NAME |   38R   33W
+ 1961 | INSERTED | VALID LINE |   38R   33W
+ 1962 | INSERTED | VALID LINE |   30R   25W
+ 1963 | INSERTED | VALID LINE |   36R   32W
+ 1964 | INSERTED | VALID LINE |   33R   30W
+ 1965 | INSERTED | MISSING: LAST_NAME BIRTH_CITY |   16R   13W
+ 1966 | INSERTED | VALID LINE |    9R    4W
+ 1967 | INSERTED | VALID LINE |   36R   32W
+ 1968 | INSERTED | VALID LINE |   24R   18W
+ 1969 | INSERTED | MISSING: BIRTH_DATE |   32R   28W
+ 1970 | INSERTED | VALID LINE |   30R   25W
+ 1971 | INSERTED | VALID LINE |   11R    9W
+ 1972 | INSERTED | VALID LINE |   25R   22W
+ 1973 | INSERTED | VALID LINE |   38R   33W
+ 1974 | INSERTED | VALID LINE |    9R    3W
+ 1975 | INSERTED | VALID LINE |    9R    4W
+ 1976 | INSERTED | VALID LINE |   11R    6W
+ 1977 | INSERTED | VALID LINE |   15R   10W
+ 1978 | INSERTED | VALID LINE |    7R    2W
+ 1979 | INSERTED | VALID LINE |   30R   25W
+ 1980 | INSERTED | VALID LINE |   32R   28W
+ 1981 | INSERTED | VALID LINE |   28R   27W
+ 1982 | INSERTED | VALID LINE |   16R   10W
+ 1983 | INSERTED | VALID LINE |   31R   26W
+ 1984 | INSERTED | VALID LINE |   16R   10W
+ 1985 | INSERTED | VALID LINE |   35R   30W
+ 1986 | INSERTED | VALID LINE |   11R    9W
+ 1987 | INSERTED | VALID LINE |   20R   16W
+ 1988 | INSERTED | MISSING: FIRST_NAME |   29R   27W
+ 1989 | INSERTED | VALID LINE |   31R   26W
+ 1990 | INSERTED | MISSING: FIRST_NAME |   16R   12W
+ 1991 | INSERTED | MISSING: BIRTH_DATE |   22R   17W
+ 1992 | INSERTED | VALID LINE |   16R   10W
+ 1993 | INSERTED | VALID LINE |    7R    1W
+ 1994 | INSERTED | VALID LINE |   35R   30W
+ 1995 | INSERTED | VALID LINE |   25R   20W
+ 1996 | INSERTED | MISSING: FIRST_NAME |    8R    5W
+ 1997 | INSERTED | VALID LINE |   18R   13W
+ 1998 | INSERTED | VALID LINE |   27R   22W
+ 1999 | INSERTED | VALID LINE |   29R   25W
+ 2000 | INSERTED | VALID LINE |   34R   31W
+ 2001 | INSERTED | VALID LINE |   22R   17W
+ 2002 | INSERTED | VALID LINE |   13R    8W
+ 2003 | INSERTED | VALID LINE |   37R   33W
+ 2004 | INSERTED | VALID LINE |   29R   27W
+ 2005 | INSERTED | VALID LINE |   11R    9W
+ 2006 | INSERTED | MISSING: BIRTH_DATE |   35R   30W
+ 2007 | INSERTED | VALID LINE |   20R   15W
+ 2008 | INSERTED | VALID LINE |   29R   27W
+ 2009 | INSERTED | VALID LINE |   19R   18W
+ 2010 | INSERTED | VALID LINE |   13R    8W
+ 2011 | INSERTED | VALID LINE |    7R    3W
+ 2012 | INSERTED | VALID LINE |   37R   32W
+ 2013 | INSERTED | VALID LINE |   22R   17W
+ 2014 | INSERTED | VALID LINE |   25R   21W
+ 2015 | INSERTED | MISSING: BIRTH_DATE |   25R   19W
+ 2016 | INSERTED | VALID LINE |   13R    8W
+ 2017 | INSERTED | VALID LINE |   25R   19W
+ 2018 | INSERTED | VALID LINE |   35R   30W
+ 2019 | INSERTED | VALID LINE |   11R    9W
+ 2020 | INSERTED | VALID LINE |    9R    4W
+ 2021 | INSERTED | VALID LINE |   27R   22W
+ 2022 | INSERTED | VALID LINE |   33R   28W
+ 2023 | INSERTED | VALID LINE |   29R   24W
+ 2024 | INSERTED | VALID LINE |   27R   22W
+ 2025 | INSERTED | VALID LINE |   27R   22W
+ 2026 | INSERTED | VALID LINE |   33R   29W
+ 2027 | INSERTED | VALID LINE |   16R   11W
+ 2028 | INSERTED | VALID LINE |   33R   28W
+ 2029 | INSERTED | MISSING: BIRTH_CITY |   11R    6W
+ 2030 | INSERTED | VALID LINE |   22R   17W
+ 2031 | INSERTED | MISSING: BIRTH_CITY |   11R    6W
+ 2032 | INSERTED | VALID LINE |   37R   32W
+ 2033 | INSERTED | VALID LINE |   25R   19W
+ 2034 | INSERTED | VALID LINE |   25R   19W
+ 2035 | INSERTED | VALID LINE |   11R    7W
+ 2036 | INSERTED | VALID LINE |    7R    1W
+ 2037 | INSERTED | MISSING: BIRTH_CITY |   17R   14W
+ 2038 | INSERTED | VALID LINE |   16R   12W
+ 2039 | INSERTED | VALID LINE |   20R   15W
+ 2040 | INSERTED | VALID LINE |   16R   11W
+ 2041 | INSERTED | VALID LINE |   29R   25W
+ 2042 | INSERTED | VALID LINE |   36R   31W
+ 2043 | INSERTED | VALID LINE |   17R   10W
+ 2044 | INSERTED | VALID LINE |   18R   13W
+ 2045 | INSERTED | MISSING: BIRTH_CITY |   11R    7W
+ 2046 | INSERTED | VALID LINE |   34R   30W
+ 2047 | INSERTED | VALID LINE |    7R    3W
+ 2048 | INSERTED | MISSING: FIRST_NAME |   38R   34W
+ 2049 | INSERTED | VALID LINE |   34R   28W
+ 2050 | INSERTED | VALID LINE |   16R   10W
+ 2051 | INSERTED | MISSING: FIRST_NAME BIRTH_CITY |   38R   34W
+ 2052 | INSERTED | VALID LINE |   29R   25W
+ 2053 | INSERTED | VALID LINE |    9R    4W
+ 2054 | INSERTED | VALID LINE |   31R   26W
+ 2055 | INSERTED | MISSING: BIRTH_CITY |    8R    5W
+ 2056 | INSERTED | VALID LINE |   20R   16W
+ 2057 | INSERTED | VALID LINE |   26R   23W
+ 2058 | INSERTED | VALID LINE |   11R    7W
+ 2059 | INSERTED | MISSING: FIRST_NAME |   29R   27W
+ 2060 | INSERTED | VALID LINE |   38R   33W
+ 2061 | INSERTED | VALID LINE |   34R   30W
+ 2062 | INSERTED | VALID LINE |   13R    8W
+ 2063 | INSERTED | MISSING: BIRTH_CITY |   11R    9W
+ 2064 | INSERTED | VALID LINE |   20R   15W
+ 2065 | INSERTED | MISSING: BIRTH_CITY |   16R   12W
+ 2066 | INSERTED | MISSING: LAST_NAME |   29R   25W
+ 2067 | INSERTED | VALID LINE |   25R   19W
+ 2068 | INSERTED | VALID LINE |   11R    7W
+ 2069 | INSERTED | MISSING: BIRTH_DATE |   20R   15W
+ 2070 | INSERTED | MISSING: FIRST_NAME |   13R    8W
+ 2071 | INSERTED | MISSING: BIRTH_CITY |   27R   22W
+ 2072 | INSERTED | VALID LINE |    7R    3W
+ 2073 | INSERTED | VALID LINE |   35R   32W
+ 2074 | INSERTED | VALID LINE |   34R   30W
+ 2075 | INSERTED | VALID LINE |   34R   30W
+ 2076 | INSERTED | VALID LINE |   20R   15W
+ 2077 | INSERTED | VALID LINE |   19R   18W
+ 2078 | INSERTED | VALID LINE |   20R   16W
+ 2079 | INSERTED | VALID LINE |   11R    9W
+ 2080 | INSERTED | VALID LINE |    8R    5W
+ 2081 | INSERTED | VALID LINE |   16R   12W
+ 2082 | INSERTED | MISSING: FIRST_NAME |   35R   32W
+ 2083 | INSERTED | VALID LINE |   38R   34W
+ 2084 | INSERTED | VALID LINE |    8R    5W
+ 2085 | INSERTED | VALID LINE |   16R   11W
+ 2086 | INSERTED | VALID LINE |   23R   17W
+ 2087 | INSERTED | MISSING: FIRST_NAME |   27R   22W
+ 2088 | INSERTED | VALID LINE |   35R   32W
+ 2089 | INSERTED | VALID LINE |   29R   25W
+ 2090 | INSERTED | MISSING: BIRTH_DATE |   35R   32W
+ 2091 | INSERTED | VALID LINE |   16R   10W
+ 2092 | INSERTED | VALID LINE |   16R   11W
+ 2093 | INSERTED | VALID LINE |   25R   19W
+ 2094 | INSERTED | VALID LINE |   38R   33W
+ 2095 | INSERTED | VALID LINE |    7R    1W
+ 2096 | INSERTED | VALID LINE |   25R   20W
+ 2097 | INSERTED | VALID LINE |    7R    3W
+ 2098 | INSERTED | VALID LINE |    7R    1W
+ 2099 | INSERTED | VALID LINE |   11R    9W
+ 2100 | INSERTED | VALID LINE |   17R   14W
+ 2101 | INSERTED | VALID LINE |    7R    4W
+ 2102 | INSERTED | VALID LINE |   35R   30W
+ 2103 | INSERTED | VALID LINE |    8R    5W
+ 2104 | INSERTED | VALID LINE |    8R    5W
+ 2105 | INSERTED | VALID LINE |   41R   36W
+ 2106 | INSERTED | VALID LINE |   21R   17W
+ 2107 | INSERTED | VALID LINE |    7R    2W
+ 2108 | INSERTED | VALID LINE |   33R   27W
+ 2109 | INSERTED | VALID LINE |    7R    3W
+ 2110 | INSERTED | VALID LINE |   14R    9W
